Date,Close XRP,Volume XRP,Market Cap XRP
2013-08-05,0.005613,,43879157
2013-08-06,0.00468,,36591008
2013-08-07,0.004417,,34534121
2013-08-08,0.004254,,33258632
2013-08-09,0.004291,,33547503
2013-08-10,0.004314,,33724969
2013-08-11,0.004415,,34518485
2013-08-12,0.004449,,34778195
2013-08-13,0.0042450000000000005,,33190304
2013-08-14,0.003788,,29617450
2013-08-15,0.003092,,24172681
2013-08-16,0.003134,,24497514
2013-08-17,0.005671,,44335331
2013-08-18,0.0056170000000000005,,43916527
2013-08-19,0.00526,,41125306
2013-08-20,0.006097999999999999,,47673883
2013-08-21,0.006131,,47928746
2013-08-22,0.005143,,40205218
2013-08-23,0.005139,,40172930
2013-08-24,0.005546,,43357939
2013-08-25,0.006104,,47719539
2013-08-26,0.006417,,50166773
2013-08-27,0.006451999999999999,,50441338
2013-08-28,0.006246,,48830305
2013-08-29,0.005763,,45051372
2013-08-30,0.0059299999999999995,,46362745
2013-08-31,0.005632,,44028635
2013-09-01,0.005787,,45239783
2013-09-02,0.005528,,43216200
2013-09-03,0.0056700000000000006,,44326106
2013-09-04,0.005695,,44522804
2013-09-05,0.005715,,44677286
2013-09-06,0.005866,,45856302
2013-09-07,0.006173,,48259599
2013-09-08,0.006183,,48338325
2013-09-09,0.00627,,49018247
2013-09-10,0.005808,,45404897
2013-09-11,0.006273,,49043421
2013-09-12,0.0063490000000000005,,49632890
2013-09-13,0.006513,,50918776
2013-09-14,0.00634,,49564170
2013-09-15,0.0064719999999999995,,50595585
2013-09-16,0.007056000000000001,,55164281
2013-09-17,0.009613,,75152827
2013-09-18,0.010782,,84291706
2013-09-19,0.010957999999999999,,85666873
2013-09-20,0.010112999999999999,,79063101
2013-09-21,0.0097,,75835642
2013-09-22,0.010406,,81353743
2013-09-23,0.010008,,78239096
2013-09-24,0.010448,,81684440
2013-09-25,0.010433,,81563262
2013-09-26,0.011713,,91574070
2013-09-27,0.014565999999999999,,113875383
2013-09-28,0.013835,,108162069
2013-09-29,0.012868000000000001,,100599042
2013-09-30,0.010931999999999999,,85467517
2013-10-01,0.010529,,82312216
2013-10-02,0.007862000000000001,,61466360
2013-10-03,0.009112,,71234188
2013-10-04,0.009873,,77187120
2013-10-05,0.009488,,74176060
2013-10-06,0.009819,,76764407
2013-10-07,0.00924,,72233940
2013-10-08,0.009451000000000001,,73884453
2013-10-09,0.009663,,75545285
2013-10-10,0.009861,,77089631
2013-10-11,0.00897,,70127097
2013-10-12,0.009382,,73347833
2013-10-13,0.008412000000000001,,65761509
2013-10-14,0.008489,,66366536
2013-10-15,0.008051,,62941909
2013-10-16,0.007305,,57107730
2013-10-17,0.008343000000000001,,65224107
2013-10-18,0.007942,,62093355
2013-10-19,0.007252,,56694711
2013-10-20,0.0067,,52377125
2013-10-21,0.006634,,51865992
2013-10-22,0.006845,,53516426
2013-10-23,0.007873,,61551184
2013-10-24,0.008596,,67201721
2013-10-25,0.00686,,53632209
2013-10-26,0.006064,,47410889
2013-10-27,0.006842,,53493207
2013-10-28,0.005942,,46453823
2013-10-29,0.005998,,46892407
2013-10-30,0.005854,,45768350
2013-10-31,0.006072999999999999,,47476950
2013-11-01,0.006353,,49670963
2013-11-02,0.006814,,53274385
2013-11-03,0.00716,,55978045
2013-11-04,0.007011,,54811929
2013-11-05,0.00715,,55899163
2013-11-06,0.007776000000000001,,60789253
2013-11-07,0.008939,,69883022
2013-11-08,0.010722,,83819505
2013-11-09,0.008653000000000001,,67644526
2013-11-10,0.008609,,67307340
2013-11-11,0.008681,,67866007
2013-11-12,0.009557,,74713696
2013-11-13,0.010846,,84792051
2013-11-14,0.009646,,75413554
2013-11-15,0.009685,,75714152
2013-11-16,0.01014,,79270275
2013-11-17,0.010209000000000001,,79811273
2013-11-18,0.010918,,85352594
2013-11-19,0.007225,,56486365
2013-11-20,0.0074670000000000005,,58373838
2013-11-21,0.009935,,77672768
2013-11-22,0.009717,,75969562
2013-11-23,0.009798000000000001,,76595853
2013-11-24,0.011668000000000001,,91218356
2013-11-25,0.018208000000000002,,142348137
2013-11-26,0.029912,,233852628
2013-11-27,0.024096,,188378309
2013-11-28,0.028981,,226572609
2013-11-29,0.030986,,242247478
2013-11-30,0.038386,,300099081
2013-12-01,0.05149600000000001,,402593962
2013-12-02,0.055251999999999996,,431954829
2013-12-03,0.048672,,380509987
2013-12-04,0.058691999999999994,,458848369
2013-12-05,0.055153,,431179294
2013-12-06,0.042211,,330004855
2013-12-07,0.033066000000000005,,258510253
2013-12-08,0.036456,,285005081
2013-12-09,0.03893,,304352013
2013-12-10,0.043784,,342296141
2013-12-11,0.037937,,296590412
2013-12-12,0.03465,,270892227
2013-12-13,0.035144999999999996,,274760519
2013-12-14,0.031941000000000004,,249707309
2013-12-15,0.029137,,227789073
2013-12-16,0.021565,,168589666
